Package,CVE-ID,Links
gammautils 0.0.81,CVE-2020-7718,https://security.snyk.io/vuln/SNYK-JS-GAMMAUTILS-598670 https://github.com/advisories/GHSA-pgmg-gf5p-54j8
locutus 2.0.11,CVE-2020-7719,https://security.snyk.io/vuln/SNYK-JS-LOCUTUS-598675
node-forge 0.9.0,CVE-2020-7720,https://security.snyk.io/vuln/SNYK-JS-NODEFORGE-598677 https://github.com/advisories/GHSA-92xj-mqp7-vmcj
node-oojs 1.4.0,CVE-2020-7721,https://security.snyk.io/vuln/SNYK-JS-NODEOOJS-598678 https://github.com/advisories/GHSA-j4rw-x3vg-c8r7
nodee-utils 1.2.2,CVE-2020-7722,https://security.snyk.io/vuln/SNYK-JS-NODEEUTILS-598679 https://github.com/advisories/GHSA-p6jh-p7q8-pcrg
promisehelpers 0.0.5,CVE-2020-7723,https://security.snyk.io/vuln/SNYK-JS-PROMISEHELPERS-598686 https://github.com/advisories/GHSA-rj5f-7c8x-gjg4
tiny-conf 1.1.0,CVE-2020-7724,https://security.snyk.io/vuln/SNYK-JS-TINYCONF-598792 https://github.com/advisories/GHSA-4q97-fh3f-j294
tiny-conf 1.1.0,CVE-2020-7724,https://security.snyk.io/vuln/SNYK-JS-TINYCONF-598792
worksmith 1.0.0,CVE-2020-7725,https://security.snyk.io/vuln/SNYK-JS-WORKSMITH-598798 https://github.com/advisories/GHSA-9829-jj5p-j6hf
safe-object2 1.0.3,CVE-2020-7726,https://security.snyk.io/vuln/SNYK-JS-SAFEOBJECT2-598801
gedi 1.6.3,CVE-2020-7727,https://security.snyk.io/vuln/SNYK-JS-GEDI-598803 https://github.com/advisories/GHSA-jh2m-j8pp-55rc
bmoor 0.8.11,CVE-2020-7736,https://security.snyk.io/vuln/SNYK-JS-BMOOR-598664 https://github.com/advisories/GHSA-h3rx-g5c9-8q4x
safetydance 2.0.1,CVE-2020-7737,https://security.snyk.io/vuln/SNYK-JS-SAFETYDANCE-598687 
safetydance 1.1.1,CVE-2020-7737,https://security.snyk.io/vuln/SNYK-JS-SAFETYDANCE-598687
simpl-schema 1.10.0,CVE-2020-7742,https://security.snyk.io/vuln/SNYK-JS-SIMPLSCHEMA-1016157 https://github.com/advisories/GHSA-9mx2-prfp-8hqp
mathjs 7.4.0,CVE-2020-7743,https://security.snyk.io/vuln/SNYK-JS-MATHJS-1016401 https://github.com/advisories/GHSA-x2fc-mxcx-w4mf
pathval 1.1.0,CVE-2020-7751,https://security.snyk.io/vuln/SNYK-JS-PATHVAL-596926 
util 0.3.3,CVE-2020-7765,https://security.snyk.io/vuln/SNYK-JS-FIREBASEUTIL-1038324
asciitable.js 1.0.2,CVE-2020-7771,https://security.snyk.io/vuln/SNYK-JS-ASCIITABLEJS-1039799 https://github.com/advisories/GHSA-5pxj-mhwj-x5gv
doc-path 2.0.0,CVE-2020-7772,https://security.snyk.io/vuln/SNYK-JS-DOCPATH-1011952 https://github.com/advisories/GHSA-gm8g-xhh8-rmwr
y18n 5.0.4,CVE-2020-7774,https://security.snyk.io/vuln/SNYK-JS-Y18N-1021887
y18n 3.2.1,CVE-2020-7774,https://security.snyk.io/vuln/SNYK-JS-Y18N-1021887 https://github.com/advisories/GHSA-c4w7-xm78-47vh
ini 1.3.5,CVE-2020-7788,https://security.snyk.io/vuln/SNYK-JS-INI-1048974 https://github.com/advisories/GHSA-qqgx-2p2h-9c37
mout 1.0.0,CVE-2020-7792,https://security.snyk.io/vuln/SNYK-JS-MOUT-1014544 
dot-prop 2.0.0,CVE-2020-8116,https://security.snyk.io/vuln/SNYK-JS-DOTPROP-543489 https://github.com/advisories/GHSA-ff7x-qrg7-qggm
typeorm 0.2.24,CVE-2020-8158,https://hackerone.com/reports/869574
json-bigint 0.4.0,CVE-2020-8237,https://hackerone.com/reports/916430
json8-merge-patch 1.0.2,CVE-2020-8268,https://hackerone.com/reports/980649
json8-merge-patch 1.0.1,CVE-2020-8268,https://security.snyk.io/vuln/SNYK-JS-JSON8MERGEPATCH-1038399 https://github.com/advisories/GHSA-8v9x-9xqg-r8mr
backbone-query-parameters 0.4.0,CVE-2021-20085,https://github.com/BlackFan/client-side-prototype-pollution/blob/master/pp/backbone-qp.md
dynamoose 2.6.0,CVE-2021-21304,https://github.com/dynamoose/dynamoose/commit/324c62b4709204955931a187362f8999805b1d8e
msgpack5 5.2.0,CVE-2021-21368,https://github.com/advisories/GHSA-gmjw-49p4-pcfm
iniparserjs 1.0.4,CVE-2021-23328,https://security.snyk.io/vuln/SNYK-JS-INIPARSERJS-1065989 https://github.com/advisories/GHSA-2f6g-w5gj-c93h
nested-object-assign 1.0.3,CVE-2021-23329,https://security.snyk.io/vuln/SNYK-JS-NESTEDOBJECTASSIGN-1065977
swiper 6.5.0,CVE-2021-23370,https://security.snyk.io/vuln/SNYK-JS-SWIPER-1088062 https://github.com/advisories/GHSA-p3hc-fv2j-rp68
set-deep-prop 1.0.0,CVE-2021-23373,https://security.snyk.io/vuln/SNYK-JS-SETDEEPPROP-1083231 
nedb 1.8.0,CVE-2021-23395,https://security.snyk.io/vuln/SNYK-JS-NEDB-1305279
lutils 2.4.0,CVE-2021-23396,https://security.snyk.io/vuln/SNYK-JS-LUTILS-1311023
deepmergefn 1.1.0,CVE-2021-23417,https://security.snyk.io/vuln/SNYK-JS-DEEPMERGEFN-1310984 https://github.com/advisories/GHSA-vj72-mwrj-m2xq
merge-change 1.0.1,CVE-2021-23421,https://github.com/VladimirShestakov/merge-change/blob/9901f145e06158f284f52de42e6ba5b0f702fb65/utils.js#L89-L123 https://security.snyk.io/vuln/SNYK-JS-MERGECHANGE-1310985
mootools 1.5.2,CVE-2021-23432,https://security.snyk.io/vuln/SNYK-JS-MOOTOOLS-1325536 https://github.com/advisories/GHSA-x6hx-7gh3-3q98
algoliasearch-helper 3.6.0,CVE-2021-23433,https://security.snyk.io/vuln/SNYK-JS-ALGOLIASEARCHHELPER-1570421 https://github.com/advisories/GHSA-vpf5-82c8-9v36
object-path 0.11.4,CVE-2021-23434,https://security.snyk.io/vuln/SNYK-JS-OBJECTPATH-1569453 https://github.com/advisories/GHSA-v39p-96qg-c8rf
x-assign 0.1.4,CVE-2021-23452,https://security.snyk.io/vuln/SNYK-JS-XASSIGN-1759314 https://github.com/advisories/GHSA-4mvj-rq4v-2fxw
json-ptr 1.1.0,CVE-2021-23509,https://security.snyk.io/vuln/SNYK-JS-JSONPTR-1577291 https://github.com/advisories/GHSA-8gwj-8hxc-285w
dotty 0.0.1,CVE-2021-23624,https://security.snyk.io/vuln/SNYK-JS-DOTTY-1577292 https://github.com/advisories/GHSA-6g47-63mv-qpgh
merge-deep2 3.0.5,CVE-2021-23700,https://security.snyk.io/vuln/SNYK-JS-MERGEDEEP2-1727593 https://github.com/advisories/GHSA-j28q-p8ww-cp87
object-extend 0.5.0,CVE-2021-23702,https://security.snyk.io/vuln/SNYK-JS-OBJECTEXTEND-2401470
notevil 1.3.3,CVE-2021-23771,https://security.snyk.io/vuln/SNYK-JS-NOTEVIL-2385946
jsonpointer 4.0.0,CVE-2021-23807,https://security.snyk.io/vuln/SNYK-JS-JSONPOINTER-1577288 https://github.com/advisories/GHSA-282f-qqgm-c34q
json-pointer 0.6.1,CVE-2021-23820,https://security.snyk.io/vuln/SNYK-JS-JSONPOINTER-1577287 https://github.com/advisories/GHSA-v5vg-g7rq-363w
json-pointer 0.6.0,CVE-2021-23820,https://security.snyk.io/vuln/SNYK-JS-JSONPOINTER-596925 https://github.com/advisories/GHSA-v5vg-g7rq-363w
dotty 0.1.0,CVE-2021-25912,https://www.mend.io/vulnerability-database/CVE-2021-25912
object-collider 1.0.3,CVE-2021-25914,https://www.mend.io/vulnerability-database/CVE-2021-25914
changeset 0.1.0,CVE-2021-25915,https://security.snyk.io/vuln/SNYK-JS-CHANGESET-1083989 
patchmerge 1.0.1,CVE-2021-25916,https://security.snyk.io/vuln/SNYK-JS-PATCHMERGE-1086585 https://github.com/advisories/GHSA-84g3-cv89-m9gm
patchmerge 1.0.0,CVE-2021-25916,https://security.snyk.io/vuln/SNYK-JS-PATCHMERGE-1086585 https://github.com/advisories/GHSA-84g3-cv89-m9gm
safe-flat 2.0.0,CVE-2021-25927,https://security.snyk.io/vuln/SNYK-JS-SAFEFLAT-1277112 https://github.com/advisories/GHSA-33rv-m2gp-mm2r
flat 5.0.0,CVE-2021-25927,https://security.snyk.io/vuln/SNYK-JS-FLAT-596927 https://github.com/advisories/GHSA-33rv-m2gp-mm2r
safe-obj 1.0.0,CVE-2021-25928,https://security.snyk.io/vuln/SNYK-JS-SAFEOBJ-1277111 https://github.com/advisories/GHSA-wpgh-hmv4-r3v5
deep-override 1.0.1,CVE-2021-25941,https://github.com/ASaiAnudeep/deep-override/commit/2aced17651fb684959a6e04b1465a8329b3d5268
deep-override 1.0.0,CVE-2021-25941,https://security.snyk.io/vuln/SNYK-JS-DEEPOVERRIDE-1292344 https://github.com/advisories/GHSA-v659-54cx-g4qr
101 1.6.3,CVE-2021-25943,https://www.mend.io/vulnerability-database/CVE-2021-25943
deep-defaults 1.0.5,CVE-2021-25944,https://www.whitesourcesoftware.com/vulnerability-database/CVE-2021-25944 
js-extend 0.0.1,CVE-2021-25945,https://security.snyk.io/vuln/SNYK-JS-JSEXTEND-1297101 https://github.com/advisories/GHSA-mh82-55cm-6gfh
expand-hash 1.0.1,CVE-2021-25948,https://security.snyk.io/vuln/SNYK-JS-EXPANDHASH-1303101 https://github.com/advisories/GHSA-x3wr-v4wx-5qpc
set-getter 0.1.0,CVE-2021-25949,https://www.mend.io/vulnerability-database/CVE-2021-25949
mixme 0.5.0,CVE-2021-29491,https://github.com/adaltas/node-mixme/commit/cfd5fbfc32368bcf7e06d1c5985ea60e34cd4028
think-helper 1.1.0,CVE-2021-32736,https://security.snyk.io/vuln/SNYK-JS-THINKHELPER-1315383 https://github.com/advisories/GHSA-vr5m-3h59-7jcp
objection 2.0.0,CVE-2021-3766,https://security.snyk.io/vuln/SNYK-JS-OBJECTION-1582910 https://github.com/advisories/GHSA-r659-8xfp-j327
json-schema 0.3.0,CVE-2021-3918,https://huntr.dev/bounties/bb6ccd63-f505-4e3a-b55f-cd2662c261a9/ https://github.com/advisories/GHSA-896r-f27r-55mw https://security.snyk.io/vuln/SNYK-JS-JSONSCHEMA-1920922
deep.assign 0.0.0-alpha.0,CVE-2021-40663,
dexie 3.2.1,CVE-2022-21189,https://security.snyk.io/vuln/SNYK-JAVA-ORGWEBJARSNPM-2805308
convict 6.2.2,CVE-2022-21190,https://security.snyk.io/vuln/SNYK-JS-CONVICT-2774757
mout-1.2.3,CVE-2022-21213,
deep-get-set 1.1.1,CVE-2022-21231,https://security.snyk.io/vuln/SNYK-JS-DEEPGETSET-2342655
nconf 0.11.3,CVE-2022-21803,https://security.snyk.io/vuln/SNYK-JS-NCONF-2395478
madlib-object-utils 0.1.7,CVE-2022-24279,https://security.snyk.io/vuln/SNYK-JS-MADLIBOBJECTUTILS-2388572
