Package,CVE-ID,Links,Detection_ObjLupAnsys,Detection_ODGen,Detection_ODGen,Detection_Explode.js,Detection_FesaJS
eivindfjeldstad-dot 0.0.1,CVE-2020-7639,https://security.snyk.io/vuln/SNYK-JS-EIVINDFJELDSTADDOT-564434 ,,,,TP,TP
expand-hash 1.0.1,CVE-2021-25948,https://security.snyk.io/vuln/SNYK-JS-EXPANDHASH-1303101 https://github.com/advisories/GHSA-x3wr-v4wx-5qpc,,,,FN,FN
extend 3.0.1,,https://hackerone.com/reports/381185,,,,TP,TP
extend-merge 1.0.5,,https://security.snyk.io/vuln/SNYK-JS-EXTENDMERGE-609868 ,,,,TP,TP
fast-json-patch 2.0.4,,https://security.snyk.io/vuln/SNYK-JS-FASTJSONPATCH-595663 ,timed out,timed out,timed out,TP,TP
field 1.0.1,CVE-2020-28269,https://security.snyk.io/vuln/SNYK-JS-FIELD-1039884 https://github.com/advisories/GHSA-hm82-qr45-h7mw,,,,TP,TP
flat 5.0.0,CVE-2021-25927,https://security.snyk.io/vuln/SNYK-JS-FLAT-596927 https://github.com/advisories/GHSA-33rv-m2gp-mm2r,,,,FN,TP
flat-wrap 1.0.2,,,,,,FN,TP
gammautils 0.0.81,CVE-2020-7718,https://security.snyk.io/vuln/SNYK-JS-GAMMAUTILS-598670 https://github.com/advisories/GHSA-pgmg-gf5p-54j8,,,,FN,TP
gedi 1.6.3,CVE-2020-7727,https://security.snyk.io/vuln/SNYK-JS-GEDI-598803 https://github.com/advisories/GHSA-jh2m-j8pp-55rc,,,,FN,TP
getobject 0.1.0,CVE-2020-28282,https://security.snyk.io/vuln/SNYK-JS-GETOBJECT-1054932 https://github.com/advisories/GHSA-957j-59c2-j692,,,,FN,TP
getsetdeep 4.12.0,,,,,,TP,TP
getsetdeep 4.15.0,,https://github.com/advisories/GHSA-8j49-49jq-vwcq ,,,,TP,TP
get-setter 0.0.0,,,,,,TP,TP
grunt-util-property 0.0.2,CVE-2020-7641,https://security.snyk.io/vuln/SNYK-JS-GRUNTUTILPROPERTY-565088 ,,,,TP,TP
gsap 3.5.1,CVE-2020-28478,,,,,TP,TP
hoek 5.0.0,CVE-2018-3728,https://security.snyk.io/vuln/npm:hoek:20180212 https://github.com/advisories/GHSA-jp4x-w63m-7wgm,,,,TP,TP
hoek 5.0.2,,https://snyk.io/vuln/npm:hoek:20180212,,,,TP,TP
immer 8.0.0,CVE-2020-28477,https://github.com/immerjs/immer/commit/da2bd4fa0edc9335543089fe7d290d6a346c40c5,,,,TP,TP
ini 1.3.5,CVE-2020-7788,https://security.snyk.io/vuln/SNYK-JS-INI-1048974 https://github.com/advisories/GHSA-qqgx-2p2h-9c37,,,,TP,TP
ini-parser 0.0.2,,,,,,FN,FN
iniparserjs 1.0.4,CVE-2021-23328,https://security.snyk.io/vuln/SNYK-JS-INIPARSERJS-1065989 https://github.com/advisories/GHSA-2f6g-w5gj-c93h,3s,3s,3s,FN,FN
inireader 1.0.0,,https://security.snyk.io/vuln/SNYK-JS-INIREADER-1054843 ,"3s, TFP","3s, TFP","3s, TFP",TP,TP
ion-parser 0.5.2,CVE-2020-28462,https://security.snyk.io/vuln/SNYK-JS-IONPARSER-1048971 ,FN,FN,FN,TP,TP
jointjs 3.2.0,CVE-2020-28480,https://security.snyk.io/vuln/SNYK-JAVA-ORGWEBJARSBOWER-1062037 https://security.snyk.io/vuln/SNYK-JAVA-ORGWEBJARSNPM-1062036 https://security.snyk.io/vuln/SNYK-JS-JOINTJS-1024444,timed out,timed out,timed out,TP,TP
jquery 1.11.0,CVE-2019-11358,https://security.snyk.io/vuln/SNYK-JS-JQUERY-174006 https://github.com/advisories/GHSA-6c3j-c64m-qhgq,,,,TP,TP
js-extend 0.0.1,CVE-2021-25945,https://security.snyk.io/vuln/SNYK-JS-JSEXTEND-1297101 https://github.com/advisories/GHSA-mh82-55cm-6gfh,,,,TP,TP
jsgui-lang-essentials 0.4.3,CVE-2022-25301,https://security.snyk.io/vuln/SNYK-JS-JSGUILANGESSENTIALS-2316897,,,,TP,TP
json8-merge-patch 1.0.1,CVE-2020-8268,https://security.snyk.io/vuln/SNYK-JS-JSON8MERGEPATCH-1038399 https://github.com/advisories/GHSA-8v9x-9xqg-r8mr,timed out,timed out,timed out,TP,TP
json8-merge-patch 1.0.2,CVE-2020-8268,https://hackerone.com/reports/980649,timed out,timed out,timed out,TP,TP
json-bigint 0.4.0,CVE-2020-8237,https://hackerone.com/reports/916430,,,,TP,TP
json-pointer 0.6.0,CVE-2021-23820,https://security.snyk.io/vuln/SNYK-JS-JSONPOINTER-596925 https://github.com/advisories/GHSA-v5vg-g7rq-363w,2s,2s,2s,FN,TP
json-pointer 0.6.1,CVE-2021-23820,https://security.snyk.io/vuln/SNYK-JS-JSONPOINTER-1577287 https://github.com/advisories/GHSA-v5vg-g7rq-363w,2s,2s,2s,FN,TP
jsonpointer 4.0.0,CVE-2021-23807,https://security.snyk.io/vuln/SNYK-JS-JSONPOINTER-1577288 https://github.com/advisories/GHSA-282f-qqgm-c34q,,,,TP,TP
json-ptr 1.1.0,CVE-2021-23509,https://security.snyk.io/vuln/SNYK-JS-JSONPTR-1577291 https://github.com/advisories/GHSA-8gwj-8hxc-285w,,,,TP,TP
json-schema 0.3.0,CVE-2021-3918,https://huntr.dev/bounties/bb6ccd63-f505-4e3a-b55f-cd2662c261a9/ https://github.com/advisories/GHSA-896r-f27r-55mw https://security.snyk.io/vuln/SNYK-JS-JSONSCHEMA-1920922,,,,TP,TP
just-extend 3.0.0,,https://hackerone.com/reports/430291,timed out,timed out,timed out,TP,TP
just-safe-set 1.0.0, CVE-2021-25952,https://security.snyk.io/vuln/SNYK-JS-JUSTSAFESET-1316267 https://github.com/advisories/GHSA-v26w-gcxh-v4r7,,,,TP,TP
keyd 1.3.4,,https://security.snyk.io/vuln/SNYK-JS-KEYD-674472 ,,,,TP,TP
keyget 2.2.0,CVE-2020-28272,https://security.snyk.io/vuln/SNYK-JS-KEYGET-1048048 ,,,,TP,TP
klona 1.1.0,,,timed out,timed out,timed out,FN,FN
libnested 1.5.0,CVE-2020-28283,https://security.snyk.io/vuln/SNYK-JS-LIBNESTED-1054930 https://github.com/advisories/GHSA-3r9x-mjrm-2725,,,,TP,TP
libnested-1.5.1,,https://security.snyk.io/vuln/SNYK-JS-LIBNESTED-2342117,,,,TP,TP
linux-cmdline 1.0.0,CVE-2020-7704,https://security.snyk.io/vuln/SNYK-JS-LINUXCMDLINE-598674 ,2s,2s,2s,TP,TP
locutus 2.0.11,CVE-2020-7719,https://security.snyk.io/vuln/SNYK-JS-LOCUTUS-598675,,,,TP,TP
lodash 4.17.10,CVE-2019-10744,https://security.snyk.io/vuln/SNYK-JS-LODASH-450202 https://github.com/advisories/GHSA-jf85-cpcp-j695,timed out,timed out,timed out,TP,TP
lodash 4.17.11,,https://github.com/lodash/lodash/pull/4336/files,timed out,timed out,timed out,FN,TP
lodash 4.17.15,CVE-2018-3721 ,https://security.snyk.io/vuln/SNYK-JS-LODASH-608086 https://github.com/advisories/GHSA-fvqr-27wr-82fm,timed out,timed out,timed out,TP,TP
lodash 4.17.4,,https://github.com/lodash/lodash/commit/d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a,timed out,timed out,timed out,TP,TP
lodash 4.17.9,CVE-2018-16487,https://hackerone.com/reports/380873 https://security.snyk.io/vuln/SNYK-JS-LODASH-73638 https://github.com/advisories/GHSA-h726-x36v-rx45,timed out,timed out,timed out,FN,TP
lodash.defaultsdeep 4.6.0,,https://snyk.io/vuln/SNYK-JS-LODASHDEFAULTSDEEP-450198,,,,TP,TP
